module,id,type,feature,route,manual_steps,expected,automation,priority,status,tester,test_date,notes
FDM,FDM-04,manual_check,层预览,/fdm,拖动层滑块,2D canvas 随层变化,,P1,,,,
FDM,FDM-05,manual_check,3D 刀路示意,/fdm,切片完成后查看 GcodePreviewPanel,有 G0/G1 折线,,P1,,,,
FDM,FDM-06,manual_check,导出 G-code,/fdm,点击导出 G-code,下载 .gcode 文件,,P1,,,,
FDM,FDM-07,manual_check,送到 Carvera/GridBot,/fdm,点击两个绿色发送按钮,对应 Jobs 中新增记录,,P2,,,,
FDM,FDM-08,manual_check,切片后端切换,/fdm,侧栏切换 mock/kiri,摘要中后端字段变化,npm run soak:fdm:live,P1,,,,
FDM,FDM-09,manual_check,Legacy 对账包,/fdm,点击复制对账包,剪贴板含 fdmLegacyComparison,含于 npm run test:migration,P1,,,,
FDM,FDM-10,manual_check,设备/工艺/材料页,/devices/fdm 等,打开各 FDM 子页,列表可浏览（占位数据可接受）,,P2,,,,
FDM,FDM-11,manual_check,FDM Jobs,/jobs/fdm,打开作业列表,可见已保存作业,,P2,,,,
FDM,FDM-12,manual_check,Kiri PoC,/fdm,点击 Kiri PoC,有响应或明确错误信息,,P2,,,,
Raster,RAS-01,manual_check,页面加载,/raster,进入 Raster,生成栅格刀路与 grip 基线 STL 可见,npm run test:e2e:migration,P0,,,,
Raster,RAS-02,manual_check,模式切换,/raster,切换 planar/tracing/radial,参数区随模式变化,,P0,,,,
Raster,RAS-03,manual_check,grip 基线 STL,/raster,点击 grip 基线 STL,地形与刀具 STL 加载成功,npm run check:raster-baseline,P0,,,,
Raster,RAS-04,manual_check,planar 基线参数,/raster,grip planar 基线后点击生成,result 有 summary 与 GPU 耗时,,P0,,,,
Raster,RAS-05,manual_check,radial 基线一键,/raster,点击 radial 基线一键,运行完成无报错,,P1,,,,
Raster,RAS-06,manual_check,tracing 示例,/raster,矩形或螺旋示例后生成,有刀路点,,P1,,,,
Raster,RAS-07,manual_check,生成栅格刀路,/raster,点击生成栅格刀路,结果预览有数据,npm run test:raster,P0,,,,
Raster,RAS-08,manual_check,CPU/GPU 对比,/raster,点击 CPU/GPU 对比,弹出对比报告,,P2,,,,
Raster,RAS-09,manual_check,导出 JSON/G-code,/raster,点击导出按钮,文件可下载,,P1,,,,
Raster,RAS-10,manual_check,保存 Carvera/GridBot Job,/raster,点击绿色保存按钮,Jobs 有记录,,P2,,,,
Raster,RAS-11,manual_check,最近任务,/raster,运行后查看最近任务,可载入与再导出,,P2,,,,
Raster,RAS-12,manual_check,E2E planar 基线,/raster,—,浏览器 checksum 一致,E2E_RASTER_BASELINE=1 npm run test:e2e:raster-baseline,P1,,,,
Texturizer,TEX-01,manual_check,页面加载,/texturizer,进入 Texturizer,导入 STL 与 grip 默认参数可见,npm run test:e2e:migration,P0,,,,
Texturizer,TEX-02,manual_check,导入 STL,/texturizer,选择 STL 文件,三角数与预览更新,,P0,,,,
Texturizer,TEX-03,manual_check,grip 默认参数,/texturizer,点击 grip 默认参数,参数填充且提示成功,,P1,,,,
Texturizer,TEX-04,manual_check,运行位移,/texturizer,点击应用纹理位移或运行,summary 有 Z 范围等,npm run soak:texturizer,P0,,,,
Texturizer,TEX-05,manual_check,导出 binary STL,/texturizer,点击导出 STL,下载合法 STL,,P0,,,,
Texturizer,TEX-06,manual_check,导出 JSON,/texturizer,点击导出 JSON,含参数与摘要,,P1,,,,
Texturizer,TEX-07,manual_check,最近任务,/texturizer,运行后载入历史,参数可恢复,,P2,,,,
Texturizer,TEX-08,manual_check,Live 大 mesh,/texturizer,设置 TEXTURIZER_SOAK_STL 等 env,在时限内完成,npm run soak:texturizer:live,P2,,,,
Carvera,CV-01,manual_check,页面加载,/carvera,打开 Carvera 控制,导入与暂停发送等按钮可见,npm run test:e2e:migration,P0,,,,
Carvera,CV-02,manual_check,导入 G-code Job,/carvera,导入 .gcode 文件,作业列表有项,,P0,,,,
Carvera,CV-03,manual_check,Job 管理,/carvera,删除/重命名/导出/复制,各操作生效,,P1,,,,
Carvera,CV-04,manual_check,连接 bridge,/carvera,点击连接（bridge 已启动）,connected=true 且日志有 Grbl 横幅,,P0,,,,
Carvera,CV-05,manual_check,状态轮询,/carvera,连接后发 ? 或等待自动轮询,MPos/WPos/Buf 等字段更新,npm run soak:carvera,P0,,,,
Carvera,CV-06,manual_check,控制命令,/carvera,回零/急停/继续等,日志有收发 mock 有 ok/error,,P1,,,,
Carvera,CV-07,manual_check,3D 机模预览,/carvera,查看中央视口,carvera.obj 显示,npm run sync:grip-carvera-assets,P1,,,,
Carvera,CV-08,manual_check,G-code 3D 预览,/carvera,选中有内容的 Job,GcodePreviewPanel 有折线,,P1,,,,
Carvera,CV-09,manual_check,发送 Job,/carvera,点击发送当前 G-code,日志逐行 out mock 有 ack,,P1,,,,
Carvera,CV-10,manual_check,暂停/继续发送,/carvera,发送中点击暂停,sendPaused 行为符合 UI,,P2,,,,
Carvera,CV-11,manual_check,JOG,/carvera,占位面板 X+/Y- 等,连接时发出 G91 类命令,,P2,,,,
Carvera,CV-12,manual_check,日志导出,/carvera,导出 TXT/JSON,文件含筛选后日志,,P2,,,,
Carvera,CV-13,manual_check,真机 soak,/carvera,TCP 指向真实控制器,L/W/A/H 与 Buf 稳定,CARVERA_SOAK_WS + npm run soak:carvera,P2,,,,
GridBot,GB-01,manual_check,页面加载,/gridbot,打开 GridBot 控制,导入 G-code G28 M112 等可见,npm run test:e2e:migration,P0,,,,
GridBot,GB-02,manual_check,Job 导入/管理,/gridbot,同 Carvera 作业操作,列表与导出正常,,P0,,,,
GridBot,GB-03,manual_check,连接,/gridbot,点击连接,connected 且有温度相关行,,P0,,,,
GridBot,GB-04,manual_check,温度/位置,/gridbot,自动或 M105/M114,解析 T/B 与 X/Y/Z,npm run soak:gridbot,P0,,,,
GridBot,GB-05,manual_check,快捷 G-code,/gridbot,G28 M112 等,日志有发出,,P1,,,,
GridBot,GB-06,manual_check,发送 Job,/gridbot,点击发送当前 G-code,Advanced OK B/P 更新,,P1,,,,
GridBot,GB-07,manual_check,print.run 状态,/gridbot,发送过程中观察,UI 显示 run/进度相关字段,,P1,,,,
GridBot,GB-08,manual_check,调试发送,/gridbot,单行 M105 等,有 ok 回显,,P1,,,,
GridBot,GB-09,manual_check,真机 soak,/gridbot,TCP 指向真实打印机,M105/M114/Advanced OK 通过,GRIDBOT_SOAK_WS + npm run soak:gridbot,P2,,,,
device-bridge,,BR-01,manual_check,双路径监听,,device-bridge 目录 npm run dev,打印 carvera 与 gridbot URL,含于 npm run test:migration,P0,,,,
device-bridge,,BR-02,manual_check,Mock Carvera,,clip 连接 mock 发 ? 多次,状态行含 MPos,npm run soak:device-bridge:mock,P0,,,,
device-bridge,,BR-03,manual_check,Mock GridBot,,M105 M114 N1 G1 X1,ok T: 与 X: 与 ok N1 B,npm run soak:device-bridge:mock,P0,,,,
device-bridge,,BR-04,manual_check,TCP 转发,,配置 CARVERA_TCP 或 GRIDBOT_TCP,bridge 日志 tcp connected,真机手工验证,P2,,,,
